Name,State/Territory,Category,Policy/Incentive Type,Created,Last Updated
Entergy Arkansas - CitySmart Energy Efficiency Program,AR,Financial Incentive,Rebate Program,09/21/2009,10/28/2025
Entergy Arkansas - Commercial and Industrial Energy Efficiency Programs,AR,Financial Incentive,Rebate Program,09/22/2009,11/03/2025
Wind Energy Manufacturing Tax Incentive,AR,Financial Incentive,Industry Recruitment/Support,05/14/2010,02/13/2024
Sustainable Building Design Revolving Loan Fund,AR,Financial Incentive,Loan Program,10/07/2010,07/03/2025
Entergy Arkansas - Small Business Energy Efficiency Programs,AR,Financial Incentive,Rebate Program,06/24/2014,11/06/2025
Entergy Arkansas - Agricultural Energy Solutions Program Rebates,AR,Financial Incentive,Rebate Program,08/25/2014,10/24/2025
Local Option - Energy Efficiency Project Bonds,AR,Financial Incentive,Bond Program,04/29/2015,06/07/2024
Entergy Arkansas - eTech Program,AR,Financial Incentive,Rebate Program,07/02/2021,03/24/2025
Reduce Emissions from Diesels (Go RED!) Program,AR,Financial Incentive,Grant Program,05/25/2023,06/06/2024
Clean Fuels Program,AR,Financial Incentive,Grant Program,05/25/2023,
Net Metering,AR,Regulatory Policy,Net Metering,05/16/2001,07/25/2025
Interconnection Guidelines,AR,Regulatory Policy,Interconnection,07/16/2002,01/14/2024
Building Energy Code,AR,Regulatory Policy,Building Energy Code,07/28/2006,05/21/2025
"North Arkansas Electric Cooperative, Inc - Energy Efficiency Loan Program",AR,Financial Incentive,Loan Program,08/25/2006,07/03/2025
Liberty Utilities - Commercial & Industrial Energy Efficiency Rebates,AR,Financial Incentive,Rebate Program,08/26/2009,11/06/2025
AEP SWEPCO - Commercial and Industrial Energy Efficiency Rebate Programs,AR,Financial Incentive,Rebate Program,09/07/2009,07/31/2025
Solar Hot Water Contractor Licensing,AR,Regulatory Policy,Solar/Wind Contractor Licensing,08/11/2010,05/10/2024
Energy Efficiency Targets,AR,Regulatory Policy,Energy Efficiency Resource Standard,01/06/2011,07/25/2025
Arkansas PACE Program,AR,Financial Incentive,PACE Financing,04/19/2013,01/15/2024
Arkansas Oklahoma Gas (AOG) Residential Rebate Program,AR,Financial Incentive,Rebate Program,06/15/2015,10/22/2025
Arkansas - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,AR,Financial Incentive,Grant Program,06/12/2024,06/12/2024
Qualifying Wood Stove Deduction,AZ,Financial Incentive,Personal Tax Deduction,01/01/2000,06/02/2023
Arizona Solar Rights,AZ,Regulatory Policy,Solar/Wind Access Policy,01/01/2000,10/24/2023
Sulphur Springs Valley EC - SunWatts Rebate Program,AZ,Financial Incentive,Rebate Program,11/11/2004,08/14/2024
Solar Contractor Licensing,AZ,Regulatory Policy,Solar/Wind Contractor Licensing,01/01/2000,12/19/2024
Energy Efficiency Standards for State Buildings,AZ,Regulatory Policy,Energy Standards for Public Buildings,02/15/2005,06/23/2024
Maricopa Assn. of Governments - Solar Domestic Water Heating Permitting Standards,AZ,Regulatory Policy,Solar/Wind Permitting Standards,05/31/2002,08/16/2023
Interconnection Guidelines,AZ,Regulatory Policy,Interconnection,08/21/2003,06/06/2024
Arizona Appliance and Equipment Energy Efficiency Standards,AZ,Regulatory Policy,Appliance/Equipment Efficiency Standards,06/01/2006,10/28/2024
APS - Residential Energy Efficiency Rebate Program,AZ,Financial Incentive,Rebate Program,07/06/2006,08/14/2024
Building Energy Code,AZ,Regulatory Policy,Building Energy Code,07/28/2006,06/18/2023
Sulphur Springs Valley EC - Residential Energy Efficiency Rebate,AZ,Financial Incentive,Rebate Program,08/25/2006,08/08/2024
APS - Energy Efficiency Solutions for Business,AZ,Financial Incentive,Rebate Program,03/20/2007,07/17/2025
City of Scottsdale - Green Building Policy for Public Buildings,AZ,Regulatory Policy,Energy Standards for Public Buildings,08/02/2007,06/23/2024
City of Scottsdale - Green Building Incentives,AZ,Financial Incentive,Green Building Incentive,08/02/2007,07/19/2022
Solar Construction Permitting Standards,AZ,Regulatory Policy,Solar/Wind Permitting Standards,05/28/2008,08/16/2023
Property Tax Assessment for Renewable Energy Equipment,AZ,Financial Incentive,Property Tax Incentive,06/24/2008,09/26/2025
Net Billing,AZ,Regulatory Policy,Net Metering,10/21/2008,09/25/2025
TEP - Residential Energy Efficiency Rebate Program,AZ,Financial Incentive,Rebate Program,11/05/2008,08/08/2024
TEP Business Energy Solutions,AZ,Financial Incentive,Rebate Program,11/05/2008,08/30/2024
UES (Electric) - Residential Efficiency Program,AZ,Financial Incentive,Rebate Program,11/06/2008,08/08/2024
City of Chandler - Expedited Plan Review for Green Buildings,AZ,Financial Incentive,Green Building Incentive,02/04/2009,01/02/2023
City of Chandler - Green Building Requirement for City Buildings,AZ,Regulatory Policy,Energy Standards for Public Buildings,02/05/2009,06/23/2024
Salt River Project - Business Energy Efficiency Programs,AZ,Financial Incentive,Rebate Program,02/09/2009,08/15/2024
Southwest Gas Corporation - Commercial High-Efficiency Equipment Rebate Program,AZ,Financial Incentive,Rebate Program,02/10/2010,08/14/2024
SRP - Residential Energy Efficiency Rebate Program,AZ,Financial Incentive,Rebate Program,03/26/2010,08/10/2024
Southwest Gas Corporation - Combined Heat and Power Program,AZ,Financial Incentive,Rebate Program,04/06/2010,08/08/2024
Mohave Electric Cooperative - Energy Efficiency Rebate Program,AZ,Financial Incentive,Rebate Program,06/30/2010,08/10/2024
Mohave Electric Cooperative - Renewable Energy Incentive Program,AZ,Financial Incentive,Rebate Program,09/21/2010,03/21/2025
Energy Efficiency Standards,AZ,Regulatory Policy,Energy Efficiency Resource Standard,12/10/2010,10/25/2024
City of Phoenix - Design Standards for City Buildings,AZ,Regulatory Policy,Energy Standards for Public Buildings,01/31/2011,06/23/2024
City of Phoenix - Renewable Energy Goal,AZ,Regulatory Policy,Green Power Purchasing,01/31/2011,12/13/2024
Maricopa County - Renewable Energy Systems Zoning Ordinance,AZ,Regulatory Policy,Solar/Wind Permitting Standards,07/14/2011,08/16/2023
Credit for Renewable Energy Investment and Production for Self-Consumption by International Operations Centers (Corporate),AZ,Financial Incentive,Corporate Tax Credit,06/18/2014,08/15/2025
Phoenix City - Municipal Code 232 Residential Solar PV System Permit,AZ,Regulatory Policy,Solar/Wind Permitting Standards,10/25/2016,08/16/2023
Alternative Fuel Vehicles Tax Exemption,AZ,Financial Incentive,Personal Tax Exemption,05/20/2021,06/02/2023
Tucson Electric Power - Home EV Chargers Rebate,AZ,Financial Incentive,Rebate Program,07/01/2021,06/09/2025
Tucson Electric Power - Smart EV Charging Program,AZ,Financial Incentive,Rebate Program,07/01/2021,06/09/2025
Arizona – Home Electrification and Appliance Rebate (HEAR) Program,AZ,Financial Incentive,Rebate Program,12/12/2024,12/12/2024
Tucson Electric Power - Energy Storage Rewards Program,AZ,Financial Incentive,Performance-Based Incentive,07/14/2025,07/14/2025
Solar & Wind Equipment Certification,AZ,Regulatory Policy,Equipment Certification,01/01/2000,09/19/2024
Residential Solar and Wind Energy Systems Tax Credit,AZ,Financial Incentive,Personal Tax Credit,01/26/2001,03/21/2025
Solar and Wind Equipment Sales Tax Exemption,AZ,Financial Incentive,Sales Tax Incentive,01/01/2000,03/21/2025
Renewable Energy Standard,AZ,Regulatory Policy,Renewables Portfolio Standard,01/01/2000,11/26/2024
Solar Design Standards for State Buildings,AZ,Regulatory Policy,Energy Standards for Public Buildings,01/01/2000,06/23/2024
Trico Electric Cooperative - SunWatts Incentive Program,AZ,Financial Incentive,Rebate Program,03/05/2007,08/14/2024
City of Tucson - Solar Readiness and EV-Ready Sustainability Codes,AZ,Regulatory Policy,Building Energy Code,04/27/2009,12/12/2024
Mohave Electric Cooperative - Renewable Energy Incentive Program,AZ,Financial Incentive,Rebate Program,09/21/2010,03/21/2025
City of Phoenix - Renewable Energy Goal,AZ,Regulatory Policy,Green Power Purchasing,01/31/2011,12/13/2024
Pima County - Solar & Wind Permitting Requirements,AZ,Regulatory Policy,Solar/Wind Permitting Standards,10/27/2016,08/16/2023
Salt River Project - Business EV Charger Rebate,AZ,Financial Incentive,Rebate Program,07/01/2021,06/13/2025
Santa Clara Water & Sewer - Solar Water Heating Program,CA,Financial Incentive,Leasing Program,01/01/2000,08/08/2024
City of San Diego - Sustainable Building Policy,CA,Regulatory Policy,Energy Standards for Public Buildings,11/16/2004,06/23/2024
Net Metering / Net Billing,CA,Regulatory Policy,Net Metering,01/01/2000,02/28/2025
California Solar Easement and the Solar Shade Control Act,CA,Regulatory Policy,Solar/Wind Access Policy,01/01/2000,10/22/2023
Solar Contractor Licensing,CA,Regulatory Policy,Solar/Wind Contractor Licensing,01/01/2000,12/19/2024
City of Oakland - Solar Access Ordinance,CA,Regulatory Policy,Solar/Wind Access Policy,08/11/2004,10/30/2023
San Diego County - Green Building Program,CA,Financial Incentive,Green Building Incentive,08/11/2004,07/21/2022
California Energy Design Assistance (CEDA),CA,Financial Incentive,Rebate Program,05/03/2006,05/23/2024
SCE - Multi-Family Residential Energy Efficiency Programs,CA,Financial Incentive,Rebate Program,05/03/2006,07/22/2025
SoCalGas - Residential Energy Efficiency Rebate Programs,CA,Financial Incentive,Rebate Program,05/03/2006,08/07/2025
Burbank Water & Power - Energy Solutions Business Rebate Program,CA,Financial Incentive,Rebate Program,06/22/2006,05/10/2024
Burbank Water & Power - Business Bucks Energy Efficiency Grant Program,CA,Financial Incentive,Grant Program,06/22/2006,08/01/2025
Green Building Action Plan for State Facilities,CA,Regulatory Policy,Energy Standards for Public Buildings,07/12/2006,06/18/2024
Building Energy Code and Solar Requirement,CA,Regulatory Policy,Building Energy Code,07/26/2006,06/18/2023
Riverside Public Utilities - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,07/31/2006,08/27/2025
Riverside Public Utilities - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,07/31/2006,05/21/2024
SMUD - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,08/02/2006,05/07/2024
SMUD - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,08/02/2006,05/07/2024
Modesto Irrigation District - Commercial New Construction Rebate Program,CA,Financial Incentive,Rebate Program,01/21/2009,05/15/2024
Sonoma County Energy Independence Program (SCEIP),CA,Financial Incentive,PACE Financing,04/07/2009,01/15/2024
SCE - Non-Residential On-Bill Financing Program,CA,Financial Incentive,Loan Program,07/13/2010,07/22/2025
SCE - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,05/03/2006,07/22/2025
City of Los Angeles - Green Building Retrofit Requirement,CA,Regulatory Policy,Energy Standards for Public Buildings,03/24/2011,06/21/2024
Anaheim Public Utilities - Commercial & Industrial New Construction Rebate Program,CA,Financial Incentive,Rebate Program,06/23/2006,07/31/2025
PG&E - Non-Residential Energy Efficiency Rebates,CA,Financial Incentive,Rebate Program,04/24/2006,07/23/2025
Riverside County - Sustainable Building Policy,CA,Regulatory Policy,Energy Standards for Public Buildings,07/26/2011,06/21/2024
CaliforniaFIRST,CA,Financial Incentive,PACE Financing,09/27/2012,12/27/2023
Statewide Solar Permitting Standards,CA,Regulatory Policy,Solar/Wind Permitting Standards,10/05/2012,11/01/2024
PG&E - Non-Residential Energy Efficiency Financing Program,CA,Financial Incentive,Loan Program,11/18/2014,07/25/2025
LADWP - Feed-in Tariff (FiT) Program,CA,Financial Incentive,Feed-in Tariff,02/19/2015,03/21/2025
Lodi Electric Utility - Commercial and Industrial Energy Efficiency Loan Program,CA,Financial Incentive,Loan Program,01/14/2016,06/03/2025
Turlock Irrigation District - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,03/21/2019,08/13/2025
Alameda Municipal Power - Electric Vehicle Rebate Program,CA,Financial Incentive,Rebate Program,07/02/2021,01/28/2025
Pasadena Water and Power - Commercial Charger Incentive Program,CA,Financial Incentive,Rebate Program,07/08/2021,06/16/2025
SMUD - Commercial Electric Vehicle Incentive Program,CA,Financial Incentive,Rebate Program,07/09/2021,06/16/2025
SDG&E - Power Your Drive Program,CA,Financial Incentive,Rebate Program,07/15/2021,06/10/2025
SCE - Charge Ready Program,CA,Financial Incentive,Rebate Program,07/15/2021,06/09/2025
Technology and Equipment for Clean Heating (TECH) Initiative,CA,Financial Incentive,Rebate Program,02/11/2022,07/07/2023
Modesto Irrigation District - Residential Electric Vehicle Charger Rebate Program,CA,Financial Incentive,Rebate Program,05/25/2022,05/25/2022
Santa Clara Water & Sewer - Solar Water Heating Program,CA,Financial Incentive,Leasing Program,01/01/2000,08/08/2024
Public Benefits Funds for Renewables and Efficiency,CA,Regulatory Policy,Public Benefits Fund,01/01/2000,07/27/2021
Self-Generation Incentive Program,CA,Financial Incentive,Rebate Program,04/16/2001,05/07/2025
Property Tax Exclusion for Solar Energy Systems and Solar Plus Storage System,CA,Financial Incentive,Property Tax Incentive,04/19/2001,03/18/2025
Renewables Portfolio Standard,CA,Regulatory Policy,Renewables Portfolio Standard,09/03/2002,11/26/2024
California Solar Rights Act,CA,Regulatory Policy,Solar/Wind Access Policy,01/01/2000,10/22/2023
PG&E - Residential Energy Savings Rebate Programs,CA,Financial Incentive,Rebate Program,04/26/2006,12/06/2024
Pacific Power - wattsmart Business,CA,Financial Incentive,Rebate Program,04/26/2006,10/07/2025
SDG&E - Residential Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,04/26/2006,10/16/2025
Anaheim Public Utilities - Residential Home Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,06/19/2006,08/04/2025
Anaheim Public Utilities - Commercial Energy Efficiency Rebate Programs,CA,Financial Incentive,Rebate Program,06/19/2006,08/01/2025
Anaheim Public Utilities - Small Business Energy & Water Direct Install Program,CA,Financial Incentive,Rebate Program,06/22/2006,08/01/2025
Burbank Water & Power - Energy Solutions Business Rebate Program,CA,Financial Incentive,Rebate Program,06/22/2006,05/10/2024
City of Palo Alto Utilities - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,06/27/2006,06/02/2025
City of Palo Alto Utilities - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,06/27/2006,06/30/2025
Glendale Water and Power - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,06/27/2006,09/23/2025
Green Building Action Plan for State Facilities,CA,Regulatory Policy,Energy Standards for Public Buildings,07/12/2006,06/18/2024
Lodi Electric Utility - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,07/19/2006,06/03/2025
Modesto Irrigation District - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,07/28/2006,09/02/2025
Pasadena Water and Power - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,07/28/2006,08/27/2025
Plumas-Sierra REC - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,09/25/2006,06/03/2025
City of San Francisco - Green Building Code,CA,Regulatory Policy,Building Energy Code,08/28/2008,07/18/2024
Alameda Municipal Power - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,04/23/2009,05/20/2024
Local Option - Municipal Energy Districts,CA,Financial Incentive,PACE Financing,07/14/2009,01/16/2024
Sales and Use Tax Exclusion for Advanced Transportation and Alternative Energy Manufacturing Program,CA,Financial Incentive,Industry Recruitment/Support,03/29/2010,02/25/2025
SCE - Non-Residential On-Bill Financing Program,CA,Financial Incentive,Loan Program,07/13/2010,07/22/2025
City of San Diego - Sustainable Building Expedited Permit Program,CA,Financial Incentive,Green Building Incentive,04/25/2011,07/09/2024
City of San Jose - Private Sector Green Building Policy,CA,Regulatory Policy,Building Energy Code,04/26/2011,07/16/2024
Los Angeles County - Green Building Program,CA,Regulatory Policy,Building Energy Code,06/17/2011,06/08/2020
San Diego County - Wind Regulations,CA,Regulatory Policy,Solar/Wind Permitting Standards,07/20/2011,05/24/2024
San Diego County - Design Standards for County Facilities,CA,Regulatory Policy,Energy Standards for Public Buildings,07/20/2011,06/21/2024
Orange County - Development Standards for Small Wind Energy Systems,CA,Regulatory Policy,Solar/Wind Permitting Standards,07/20/2011,05/24/2024
Santa Clara County - Green Building Policy for County Government Buildings,CA,Regulatory Policy,Energy Standards for Public Buildings,08/25/2011,06/25/2024
Energy Efficiency Financing for Public Sector Projects,CA,Financial Incentive,Loan Program,03/21/2012,06/30/2025
Partial Sales and Use Tax Exemption for Agricultural Solar Power Facilities,CA,Financial Incentive,Sales Tax Incentive,12/13/2012,03/21/2025
Renewable Market Adjusting Tariff (ReMAT),CA,Financial Incentive,Feed-in Tariff,02/03/2015,05/24/2024
City of San Francisco - Green Building and Efficiency/Electrification Requirements for City Buildings,CA,Regulatory Policy,Energy Standards for Public Buildings,09/08/2016,06/18/2024
City of Long Beach - Green Building Policy for Municipal Buildings,CA,Regulatory Policy,Energy Standards for Public Buildings,09/13/2016,06/18/2024
City of Oakland - Green Building Policies and Requirements,CA,Regulatory Policy,Building Energy Code,09/13/2016,06/08/2020
Santa Clara County - Solar Access Easements,CA,Regulatory Policy,Solar/Wind Access Policy,09/20/2016,10/20/2023
Santa Clara County - County Green Building Standards Code,CA,Regulatory Policy,Building Energy Code,09/22/2016,06/08/2020
Burbank Water and Power - LEED Certification Incentive Program,CA,Financial Incentive,Rebate Program,02/20/2019,06/03/2025
Plumas-Sierra REC - Commercial and Irrigation Rebate Program,CA,Financial Incentive,Rebate Program,02/21/2019,06/03/2025
Silicon Valley Power - Emerging Technologies Grant Program,CA,Financial Incentive,Grant Program,02/27/2019,08/25/2025
LADWP - Charge Up LA Used Electric Vehicle Program,CA,Financial Incentive,Rebate Program,07/03/2021,06/09/2025
PG&E - EV Fleet Program,CA,Financial Incentive,Rebate Program,07/07/2021,06/09/2025
Pasadena Water and Power - Residential Electric Vehicle and Charger Incentive Program,CA,Financial Incentive,Rebate Program,07/08/2021,06/09/2025
Modesto Irrigation District - Electric Vehicle Charger Rebate Program,CA,Financial Incentive,Rebate Program,06/15/2023,02/17/2025
Redding Electric - Electric Vehicle Rebate Program,CA,Financial Incentive,Rebate Program,06/15/2023,02/17/2025
California - Home Electrification and Appliance Rebate (HEAR) Program,CA,Financial Incentive,Rebate Program,10/09/2024,05/07/2025
City of San Diego - Sustainable Building Policy,CA,Regulatory Policy,Energy Standards for Public Buildings,11/16/2004,06/23/2024
Net Metering / Net Billing,CA,Regulatory Policy,Net Metering,01/01/2000,02/28/2025
California Solar Easement and the Solar Shade Control Act,CA,Regulatory Policy,Solar/Wind Access Policy,01/01/2000,10/22/2023
City of Santa Monica - Green Power Purchasing through Clean Power Alliance Utility,CA,Regulatory Policy,Green Power Purchasing,01/01/2000,12/13/2024
Solar Contractor Licensing,CA,Regulatory Policy,Solar/Wind Contractor Licensing,01/01/2000,12/19/2024
City of Oakland - Solar Access Ordinance,CA,Regulatory Policy,Solar/Wind Access Policy,08/11/2004,10/30/2023
San Diego County - Green Building Program,CA,Financial Incentive,Green Building Incentive,08/11/2004,07/21/2022
California Energy Design Assistance (CEDA),CA,Financial Incentive,Rebate Program,05/03/2006,05/23/2024
SCE - Multi-Family Residential Energy Efficiency Programs,CA,Financial Incentive,Rebate Program,05/03/2006,07/22/2025
SoCalGas - Residential Energy Efficiency Rebate Programs,CA,Financial Incentive,Rebate Program,05/03/2006,08/07/2025
SoCalGas - Non-Residential Energy Efficiency Rebate Programs,CA,Financial Incentive,Rebate Program,05/03/2006,08/07/2025
Burbank Water & Power - Energy Solutions Business Rebate Program,CA,Financial Incentive,Rebate Program,06/22/2006,05/10/2024
Burbank Water & Power - Business Bucks Energy Efficiency Grant Program,CA,Financial Incentive,Grant Program,06/22/2006,08/01/2025
Burbank Water & Power - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,06/26/2006,08/01/2025
Green Building Action Plan for State Facilities,CA,Regulatory Policy,Energy Standards for Public Buildings,07/12/2006,06/18/2024
Building Energy Code and Solar Requirement,CA,Regulatory Policy,Building Energy Code,07/26/2006,06/18/2023
Riverside Public Utilities - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,07/31/2006,08/27/2025
Riverside Public Utilities - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,07/31/2006,05/21/2024
SMUD - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,08/02/2006,05/07/2024
SMUD - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,08/02/2006,05/07/2024
Silicon Valley Power - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,08/02/2006,06/10/2025
Modesto Irrigation District - Commercial New Construction Rebate Program,CA,Financial Incentive,Rebate Program,01/21/2009,05/15/2024
Pasadena Water and Power - Commercial Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,02/11/2009,08/27/2025
Sonoma County Energy Independence Program (SCEIP),CA,Financial Incentive,PACE Financing,04/07/2009,01/15/2024
SCE - Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,05/03/2006,07/22/2025
City of Los Angeles - Green Building Retrofit Requirement,CA,Regulatory Policy,Energy Standards for Public Buildings,03/24/2011,06/21/2024
Anaheim Public Utilities - Commercial & Industrial New Construction Rebate Program,CA,Financial Incentive,Rebate Program,06/23/2006,07/31/2025
PG&E - Non-Residential Energy Efficiency Rebates,CA,Financial Incentive,Rebate Program,04/24/2006,07/23/2025
Riverside County - Sustainable Building Policy,CA,Regulatory Policy,Energy Standards for Public Buildings,07/26/2011,06/21/2024
SoCalGas - Custom Non-Residential Energy Efficiency Program,CA,Financial Incentive,Rebate Program,05/03/2006,08/25/2025
Western Riverside Council of Governments - Home Energy Renovation Opportunity (HERO) Financing Program,CA,Financial Incentive,PACE Financing,05/21/2012,01/15/2024
CaliforniaFIRST,CA,Financial Incentive,PACE Financing,09/27/2012,12/27/2023
Statewide Solar Permitting Standards,CA,Regulatory Policy,Solar/Wind Permitting Standards,10/05/2012,11/01/2024
PG&E - Non-Residential Energy Efficiency Financing Program,CA,Financial Incentive,Loan Program,11/18/2014,07/25/2025
City of Lancaster - Mandatory Solar Requirement for New Homes,CA,Regulatory Policy,Building Energy Code,11/26/2014,06/08/2020
LADWP - Feed-in Tariff (FiT) Program,CA,Financial Incentive,Feed-in Tariff,02/19/2015,03/21/2025
Lodi Electric Utility - Commercial and Industrial Energy Efficiency Loan Program,CA,Financial Incentive,Loan Program,01/14/2016,06/03/2025
Sales and Use Tax Exemption for Electric Power Generation and Storage Equipment,CA,Financial Incentive,Sales Tax Incentive,02/08/2018,03/21/2025
Marin County - Natural Gas Appliance Replacement Rebate Program,CA,Financial Incentive,Rebate Program,07/01/2019,05/18/2023
Clean Transportation Program,CA,Financial Incentive,Grant Program,05/20/2021,06/13/2023
Alameda Municipal Power - Electric Vehicle Rebate Program,CA,Financial Incentive,Rebate Program,07/02/2021,01/28/2025
Anaheim Public Utilities - Personal Use EV Charger Rebates,CA,Financial Incentive,Rebate Program,07/02/2021,01/28/2025
Anaheim Public Utilities - Public Access EV Charger Rebate,CA,Financial Incentive,Rebate Program,07/02/2021,01/28/2025
SMUD - Commercial Electric Vehicle Incentive Program,CA,Financial Incentive,Rebate Program,07/09/2021,06/16/2025
SDG&E - Power Your Drive Program,CA,Financial Incentive,Rebate Program,07/15/2021,06/10/2025
SCE - Charge Ready Program,CA,Financial Incentive,Rebate Program,07/15/2021,06/09/2025
Technology and Equipment for Clean Heating (TECH) Initiative,CA,Financial Incentive,Rebate Program,02/11/2022,07/07/2023
